Date,Confirmed,Deaths,Recovered,Active,Total_Test_Results,People_Hospitalized
2020-04-12,555613,22365,67139,500306,2820915,92251
2020-04-13,580886,23938,78924,615609,2949922,92802
2020-04-14,607980,26224,85408,534076,3098462,101017
2020-04-15,636837,28723,91501,555929,3260993,103839
2020-04-16,668131,33284,96735,580182,3419905,108942
2020-04-17,700179,37160,102639,604388,3561060,111972
2020-04-18,732660,39052,116230,628693,3711374,114029
2020-04-19,759492,41088,123967,648088,3886220,115792
2020-04-20,784829,42580,126767,669903,4023596,117363
2020-04-21,812572,44899,133321,692217,4177485,120268
2020-04-22,841061,47096,138885,716232,4491224,121498
2020-04-23,869856,50418,143750,739013,4686193,123621
2020-04-24,906056,52441,180548,754305,4967372,124414
2020-04-25,939017,54254,190817,784027,5213327,126194
2020-04-26,966323,55445,197989,803914,5469579,126647
2020-04-27,988903,56868,206169,820407,5621780,128673
2020-04-28,1013417,58946,255235,838291,5827555,106265
2020-04-29,1040925,61454,268204,858222,6061223,109690
2020-04-30,1070403,63354,153947,852481,6268338,111955
2020-05-01,1104625,65320,164015,874503,6590922,121748
2020-05-02,1133512,66899,175382,890788,6858524,123860
2020-05-03,1158771,68276,180152,910206,7099759,125796
2020-05-04,1181206,69555,187180,924273,7329860,127397
2020-05-05,1205360,71627,189791,943496,7592741,129357
2020-05-06,1229732,73834,189910,965262,7811536,131477
2020-05-07,1258109,76064,195036,986325,8145430,135176
2020-05-08,1285120,77593,198993,1007756,8448259,142037
2020-05-09,1311000,79195,212534,1018221,8748367,147212
2020-05-10,1330613,79999,216169,1033565,9030543,144780
2020-05-11,1348936,81189,232733,1034466,9415815,145981
2020-05-12,1371192,82857,230287,1056911,9708676,142861
2020-05-13,1391915,84557,243430,1062857,10049878,149347
2020-05-14,1418928,86352,246414,1085462,10419428,152396
2020-05-15,1444045,87977,250747,1104547,10799417,153866
2020-05-16,1469104,89186,268376,1110690,11162971,155726
2020-05-17,1488175,90049,272265,1124930,11593276,156905
2020-05-18,1509869,90888,283178,1134783,11928420,157963
2020-05-19,1530275,92366,289392,1147255,12333815,159634
2020-05-20,1553355,93866,294312,1164102,12761856,161616
2020-05-21,1578826,95088,298418,1184027,13164370,166254
2020-05-22,1602740,96337,350135,1154823,13512530,170697
2020-05-23,1624092,97423,361239,1164286,13904418,172037
2020-05-24,1644549,98068,366736,1178790,14288251,172574
2020-05-25,1663578,98602,379157,1184925,14730142,173541
2020-05-26,1682487,99297,384902,1197098,15033557,190823
2020-05-27,1700960,100757,391508,1207250,15325265,192446
2020-05-28,1723592,101873,399991,1220146,15782469,194975
2020-05-29,1748015,103044,406446,1236764,16240170,207694
2020-05-30,1772237,104016,416461,1249928,16642272,209134
2020-05-31,1791798,104649,444758,1241033,17086794,210083
2020-06-01,1812614,105414,458231,1247640,17492947,212704
2020-06-02,1833865,106365,463868,1261773,17914102,214382
2020-06-03,1853777,107366,479258,1265087,18384969,216640
2020-06-04,1875139,108396,485002,1279447,18852369,213812
2020-06-05,1905398,109528,491706,1301553,19403888,215252
2020-06-06,1928171,110231,500849,1314832,19961685,216259
2020-06-07,1946407,110693,506367,1326987,20415909,216906
2020-06-08,1964117,111160,518522,1331895,20795991,217581
2020-06-09,1982364,112115,524855,1342640,21240928,219089
2020-06-10,2003965,113018,533504,1354036,21672657,220602
2020-06-11,2026722,113879,540292,1369235,22146787,221983
2020-06-12,2052494,114728,547386,1386931,22747457,223281
2020-06-13,2078270,115468,556606,1402484,23272706,224420
2020-06-14,2097484,115796,561816,1416510,23769510,225061
2020-06-15,2117372,116187,576334,1421565,24220547,225570
2020-06-16,2141131,117002,583503,1437265,24697280,226926
2020-06-17,2168046,117752,592191,1453382,25195027,228094
2020-06-18,2196159,118440,599115,1473505,25667961,229212
2020-06-19,2227977,119100,606715,1496740,26259398,230913
2020-06-20,2260788,119661,617460,1517940,26856308,231743
2020-06-21,2286056,119943,622133,1539180,27376519,232275
2020-06-22,2318675,120383,640198,1551702,27845612,233099
2020-06-23,2354882,121112,647548,1578246,28372437,234426
2020-06-24,2390986,121843,656161,1603352,28893867,235736
2020-06-25,2431544,124264,663562,1634327,29547009,236993
2020-06-26,2477487,124902,670809,1671706,30163522,238519
2020-06-27,2519167,125405,679308,1705304,30780640,239576
2020-06-28,2560064,125709,685164,1738029,31356958,240156
2020-06-29,2601647,126051,705203,1759308,31938294,240826
2020-06-30,2646850,127263,720631,1787369,32595753,242408
2020-07-01,2698300,127916,729994,1828202,33230747,243846
2020-07-02,2753430,128611,781970,1829169,33885475,245722
2020-07-03,2806558,129288,790404,1874315,34650061,247284
2020-07-04,2851803,129578,894325,1815435,35305577,248155
2020-07-05,2901699,129885,906763,1851925,35956121,248745
2020-07-06,2948016,130241,924148,1881644,36472778,249539
2020-07-07,3008722,131383,936476,1928142,37342721,251499
2020-07-08,3068391,132163,953462,1968937,37914818,253534
2020-07-09,3130729,133169,969111,2015545,38534871,255253
2020-07-10,3198882,133974,983185,2067296,39436907,257571
2020-07-11,3258932,134693,995576,2115572,40084871,262712
2020-07-12,3317567,135131,1006326,2163411,40819224,263651
2020-07-13,3376249,135563,1031939,2196652,41547187,264865
2020-07-14,3444784,136469,1049098,2246010,42315540,267127
2020-07-15,3512850,137419,1075882,2284558,43091046,269507
2020-07-16,3588545,138375,1090645,2347154,43938152,271758
2020-07-17,3660688,139273,1107204,2401245,44802585,274436
2020-07-18,3724226,140121,1122720,2448574,45586847,276439
2020-07-19,3785397,140563,1131121,2501605,46360533,277378
2020-07-20,3846923,140983,1160087,2533677,47100794,279030
2020-07-21,3911915,142056,1182018,2575198,47867653,281581
2020-07-22,3982210,143255,1210849,2616046,48683847,283829
2020-07-23,4050377,144350,1233269,2661175,49474939,286329
2020-07-24,4124638,145560,1261624,2705361,50528628,289355
2020-07-25,4188875,146512,1279414,2752147,51330193,291347
2020-07-26,4245022,147044,1297863,2789125,52196158,292782
2020-07-27,4301773,148167,1325804,2816521,52958758,294472
2020-07-28,4368551,149429,1355363,2851533,53706013,299144
2020-07-29,4440103,150811,1389425,2886844,54558621,302057
2020-07-30,4508045,152171,1414155,2928805,55399442,305485
2020-07-31,4576721,153438,1438160,2970564,56121028,308088
2020-08-01,4633944,154555,1461885,3004112,56842701,310384
2020-08-02,4679895,155000,1468689,3044406,57579498,311223
2020-08-03,4726218,155587,1513446,3044692,58316170,312947
2020-08-04,4785430,156894,1528979,3085300,59031499,317437
2020-08-05,4839248,158345,1577851,3087789,59721329,319706
2020-08-06,4898750,160191,1598624,3124854,60465845,322388
2020-08-07,4958355,161435,1623870,3156538,61242722,330424
2020-08-08,5013348,162505,1643118,3192388,61918166,331820
2020-08-09,5060190,163028,1656864,3225062,62639684,332658
2020-08-10,5107854,163657,1670755,3260182,63368282,334347
2020-08-11,5156146,164686,1714960,3261711,64124049,337062
2020-08-12,5211715,166173,1753760,3277617,64609566,340097
2020-08-13,5262939,167248,1774648,3307200,65743141,342802
2020-08-14,5328285,168585,1796326,3348474,66603715,345014
2020-08-15,5375948,169586,1818527,3373157,67365411,347020
2020-08-16,5415900,170199,1833067,3400094,68149382,347664
2020-08-17,5451999,170686,1865580,3402248,69008884,348961
2020-08-18,5497158,171907,1898159,3413408,69678980,351234
2020-08-19,5543845,173265,1925049,3431598,70363955,353270
2020-08-20,5587827,174367,1947035,3452557,71045330,355283
2020-08-21,5637363,175461,1965056,3482114,71832548,357093
2020-08-22,5681002,176379,1985484,3505275,72600555,358613
2020-08-23,5715471,176919,1997761,3527116,73231931,359382
2020-08-24,5752446,177394,2020774,3541698,73944892,360453
2020-08-25,5792665,178631,2053699,3545525,74614469,362452
2020-08-26,5836236,179790,2084465,3557646,75648850,364325
2020-08-27,5881875,180916,2101326,3585635,76422400,365993
2020-08-28,5928997,181894,2118367,3613774,77225085,0
2020-08-29,5973037,182795,2140614,3637845,78005349,0
2020-08-30,6007436,183242,2153939,3659426,78755875,0
2020-08-31,6045000,183738,2184825,3662165,79463846,0
2020-09-01,6087700,184768,2202663,3686513,80195633,0
2020-09-02,6127818,185851,2231757,3696033,80867879,0
2020-09-03,6164696,186886,2266957,3696269,81623405,0
2020-09-04,6215489,187842,2283454,3729309,82550034,0
2020-09-05,6259038,188617,2302187,3754245,83369220,0
2020-09-06,6290472,189080,2315995,3771429,84116153,0
2020-09-07,6314657,189366,2333551,3777863,84712888,0
2020-09-08,6341787,189814,2359111,3778245,85258430,0
2020-09-09,6376499,190997,2387479,3782927,85879405,0
2020-09-10,6411305,191908,2403511,3800762,86539972,0
2020-09-11,6459319,193078,2417878,3832886,88615576,0
2020-09-12,6500970,193783,2434658,3856863,89459428,0
2020-09-13,6535172,194212,2451406,3874096,90250515,0
2020-09-14,6569921,194641,2474570,3885008,91034584,0
2020-09-15,6609359,195845,2495127,3902598,91438786,0
2020-09-16,6647804,196805,2525573,3908267,92175959,0
2020-09-17,6693139,197663,2540334,3937370,93019683,0
2020-09-18,6742611,198563,2556465,3968898,94648490,0
2020-09-19,6785467,199290,2577446,3991391,95732790,0
2020-09-20,6824931,199545,2590671,4014634,96637905,0
2020-09-21,6876947,199973,2615949,4041070,97381187,0
