Date,Confirmed,Deaths,Recovered,Active,Total_Test_Results,People_Hospitalized
2020-04-12,555613,22365,67139,500306,2820915,92251
2020-04-13,25273,1573,11785,115303,129007,551
2020-04-14,27094,2286,6484,-81533,148540,8215
2020-04-15,28857,2499,6093,21853,162531,2822
2020-04-16,31294,4561,5234,24253,158912,5103
2020-04-17,32048,3876,5904,24206,141155,3030
2020-04-18,32481,1892,13591,24305,150314,2057
2020-04-19,26832,2036,7737,19395,174846,1763
2020-04-20,25337,1492,2800,21815,137376,1571
2020-04-21,27743,2319,6554,22314,153889,2905
2020-04-22,28489,2197,5564,24015,313739,1230
2020-04-23,28795,3322,4865,22781,194969,2123
2020-04-24,36200,2023,36798,15292,281179,793
2020-04-25,32961,1813,10269,29722,245955,1780
2020-04-26,27306,1191,7172,19887,256252,453
2020-04-27,22580,1423,8180,16493,152201,2026
2020-04-28,24514,2078,49066,17884,205775,-22408
2020-04-29,27508,2508,12969,19931,233668,3425
2020-04-30,29478,1900,-114257,-5741,207115,2265
2020-05-01,34222,1966,10068,22022,322584,9793
2020-05-02,28887,1579,11367,16285,267602,2112
2020-05-03,25259,1377,4770,19418,241235,1936
2020-05-04,22435,1279,7028,14067,230101,1601
2020-05-05,24154,2072,2611,19223,262881,1960
2020-05-06,24372,2207,119,21766,218795,2120
2020-05-07,28377,2230,5126,21063,333894,3699
2020-05-08,27011,1529,3957,21431,302829,6861
2020-05-09,25880,1602,13541,10465,300108,5175
2020-05-10,19613,804,3635,15344,282176,-2432
2020-05-11,18323,1190,16564,901,385272,1201
2020-05-12,22256,1668,-2446,22445,292861,-3120
2020-05-13,20723,1700,13143,5946,341202,6486
2020-05-14,27013,1795,2984,22605,369550,3049
2020-05-15,25117,1625,4333,19085,379989,1470
2020-05-16,25059,1209,17629,6143,363554,1860
2020-05-17,19071,863,3889,14240,430305,1179
2020-05-18,21694,839,10913,9853,335144,1058
2020-05-19,20406,1478,6214,12472,405395,1671
2020-05-20,23080,1500,4920,16847,428041,1982
2020-05-21,25471,1222,4106,19925,402514,4638
2020-05-22,23914,1249,51717,-29204,348160,4443
2020-05-23,21352,1086,11104,9463,391888,1340
2020-05-24,20457,645,5497,14504,383833,537
2020-05-25,19029,534,12421,6135,441891,967
2020-05-26,18909,695,5745,12173,303415,17282
2020-05-27,18473,1460,6606,10152,291708,1623
2020-05-28,22632,1116,8483,12896,457204,2529
2020-05-29,24423,1171,6455,16618,457701,12719
2020-05-30,24222,972,10015,13164,402102,1440
2020-05-31,19561,633,28297,-8895,444522,949
2020-06-01,20816,765,13473,6607,406153,2621
2020-06-02,21251,951,5637,14133,421155,1678
2020-06-03,19912,1001,15390,3314,470867,2258
2020-06-04,21362,1030,5744,14360,467400,-2828
2020-06-05,30259,1132,6704,22106,551519,1440
2020-06-06,22773,703,9143,13279,557797,1007
2020-06-07,18236,462,5518,12155,454224,647
2020-06-08,17710,467,12155,4908,380082,675
2020-06-09,18247,955,6333,10745,444937,1508
2020-06-10,21601,903,8649,11396,431729,1513
2020-06-11,22757,861,6788,15199,474130,1381
2020-06-12,25772,849,7094,17696,600670,1298
2020-06-13,25776,740,9220,15553,525249,1139
2020-06-14,19214,328,5210,14026,496804,641
2020-06-15,19888,391,14518,5055,451037,509
2020-06-16,23759,815,7169,15700,476733,1356
2020-06-17,26915,750,8688,16117,497747,1168
2020-06-18,28113,688,6924,20123,472934,1118
2020-06-19,31818,660,7600,23235,591437,1701
2020-06-20,32811,561,10745,21200,596910,830
2020-06-21,25268,282,4673,21240,520211,532
2020-06-22,32619,440,18065,12522,469093,824
2020-06-23,36207,729,7350,26544,526825,1327
2020-06-24,36104,731,8613,25106,521430,1310
2020-06-25,40558,2421,7401,30975,653142,1257
2020-06-26,45943,638,7247,37379,616513,1526
2020-06-27,41680,503,8499,33598,617118,1057
2020-06-28,40897,304,5856,32725,576318,580
2020-06-29,41583,342,20039,21279,581336,670
2020-06-30,45203,1212,15428,28061,657459,1582
2020-07-01,51450,653,9363,40833,634994,1438
2020-07-02,55130,695,51976,967,654728,1876
2020-07-03,53128,677,8434,45146,764586,1562
2020-07-04,45245,290,103921,-58880,655516,871
2020-07-05,49896,307,12438,36490,650544,590
2020-07-06,46317,356,17385,29719,516657,794
2020-07-07,60706,1142,12328,46498,869943,1960
2020-07-08,59669,780,16986,40795,572097,2035
2020-07-09,62338,1006,15649,46608,620053,1719
2020-07-10,68153,805,14074,51751,902036,2318
2020-07-11,60050,719,12391,48276,647964,5141
2020-07-12,58635,438,10750,47839,734353,939
2020-07-13,58682,432,25613,33241,727963,1214
2020-07-14,68535,906,17159,49358,768353,2262
2020-07-15,68066,950,26784,38548,775506,2380
2020-07-16,75695,956,14763,62596,847106,2251
2020-07-17,72143,898,16559,54091,864433,2678
2020-07-18,63538,848,15516,47329,784262,2003
2020-07-19,61171,442,8401,53031,773686,939
2020-07-20,61526,420,28966,32072,740261,1652
2020-07-21,64992,1073,21931,41521,766859,2551
2020-07-22,70295,1199,28831,40848,816194,2248
2020-07-23,68167,1095,22420,45129,791092,2500
2020-07-24,74261,1210,28355,44186,1053689,3026
2020-07-25,64237,952,17790,46786,801565,1992
2020-07-26,56147,532,18449,36978,865965,1435
2020-07-27,56751,1123,27941,27396,762600,1690
2020-07-28,66778,1262,29559,35012,747255,4672
2020-07-29,71552,1382,34062,35311,852608,2913
2020-07-30,67942,1360,24730,41961,840821,3428
2020-07-31,68676,1267,24005,41759,721586,2603
2020-08-01,57223,1117,23725,33548,721673,2296
2020-08-02,45951,445,6804,40294,736797,839
2020-08-03,46323,587,44757,286,736672,1724
2020-08-04,59212,1307,15533,40608,715329,4490
2020-08-05,53818,1451,48872,2489,689830,2269
2020-08-06,59502,1846,20773,37065,744516,2682
2020-08-07,59605,1244,25246,31684,776877,8036
2020-08-08,54993,1070,19248,35850,675444,1396
2020-08-09,46842,523,13746,32674,721518,838
2020-08-10,47664,629,13891,35120,728598,1689
2020-08-11,48292,1029,44205,1529,755767,2715
2020-08-12,55569,1487,38800,15906,485517,3035
2020-08-13,51224,1075,20888,29583,1133575,2705
2020-08-14,65346,1337,21678,41274,860574,2212
2020-08-15,47663,1001,22201,24683,761696,2006
2020-08-16,39952,613,14540,26937,783971,644
2020-08-17,36099,487,32513,2154,859502,1297
2020-08-18,45159,1221,32579,11160,670096,2273
2020-08-19,46687,1358,26890,18190,684975,2036
2020-08-20,43982,1102,21986,20959,681375,2013
2020-08-21,49536,1094,18021,29557,787218,1810
2020-08-22,43639,918,20428,23161,768007,1520
2020-08-23,34469,540,12277,21841,631376,769
2020-08-24,36975,475,23013,14582,712961,1071
2020-08-25,40219,1237,32925,3827,669577,1999
2020-08-26,43571,1159,30766,12121,1034381,1873
2020-08-27,45639,1126,16861,27989,773550,1668
2020-08-28,47122,978,17041,28139,802685,-365993
2020-08-29,44040,901,22247,24071,780264,0
2020-08-30,34399,447,13325,21581,750526,0
2020-08-31,37564,496,30886,2739,707971,0
2020-09-01,42700,1030,17838,24348,731787,0
2020-09-02,40118,1083,29094,9520,672246,0
2020-09-03,36878,1035,35200,236,755526,0
2020-09-04,50793,956,16497,33040,926629,0
2020-09-05,43549,775,18733,24936,819186,0
2020-09-06,31434,463,13808,17184,746933,0
2020-09-07,24185,286,17556,6434,596735,0
2020-09-08,27130,448,25560,382,545542,0
2020-09-09,34712,1183,28368,4682,620975,0
2020-09-10,34806,911,16032,17835,660567,0
2020-09-11,48014,1170,14367,32124,2075604,0
2020-09-12,41651,705,16780,23977,843852,0
2020-09-13,34202,429,16748,17233,791087,0
2020-09-14,34749,429,23164,10912,784069,0
2020-09-15,39438,1204,20557,17590,404202,0
2020-09-16,38445,960,30446,5669,737173,0
