date,new_cases,weekly_new_cases_average,new_cases_yesterday,new_deaths,weeky_new_deaths_average,new_deaths_yesterday,new_tests,weekly_new_tests_average,new_tests_yesterday,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,population_not_staying_at_home,population_not_staying_at_home_previous_week_average,stringency_index
2020-03-01,7,,,0,,,372,,,0,0,0,0,256927484,,8.33
2020-03-02,23,,7,5,,0,521,,372,0,0,0,0,264492354,,11.11
2020-03-03,19,,23,1,,5,913,,521,0,0,0,0,268733445,,11.11
2020-03-04,33,,19,4,,1,896,,913,0,0,0,0,267573421,,11.11
2020-03-05,77,,33,1,,4,1199,,896,0,0,0,0,271777284,,20.37
2020-03-06,53,,77,2,,1,1523,,1199,0,0,0,0,270142601,,20.37
2020-03-07,166,,53,3,,2,1789,,1523,0.042,0,0,0,264905803,,20.37
2020-03-08,116,54,166,4,2,3,1666,1030,1789,0.053,0,0,0,256927360,,20.37
2020-03-09,75,70,116,1,3,4,2297,1215,1666,0.065,0,0,0,264492258,,20.37
2020-03-10,188,77,75,6,2,1,3297,1469,2297,0.076,0,0,0,265487100,,20.37
2020-03-11,365,101,188,5,3,6,4653,1810,3297,0.076,0,0,0,267573375,,21.76
2020-03-12,439,149,365,10,3,5,8540,2346,4653,0.069,0,0,0,265260791,,30.09
2020-03-13,633,200,439,8,4,10,11407,3395,8540,0.057,0,0,0,266788145,,30.09
2020-03-14,759,283,633,7,5,8,13009,4807,11407,0.051,0,0,0,253046319,266364627.428571,35.65
2020-03-15,234,368,759,12,6,7,14494,6410,13009,0.058,0,0,0,240069757,266364609.714286,41.2
2020-03-16,1467,385,234,27,7,12,27512,8242,14494,0.048,0,0,0,251297496,266364596,52.31
2020-03-17,1833,584,1467,37,11,27,39951,11845,27512,0.055,0,0,0,242762850,265900832.428571,55.09
2020-03-18,2657,819,1833,60,15,37,50542,17081,39951,0.059,0,0,0,237776341,265900825.857143,55.09
2020-03-19,4494,1146,2657,72,23,60,61284,23636,50542,0.065,0,0,0,235936749,264969898.285714,67.13
2020-03-20,6367,1725,4494,106,32,72,76591,31171,61284,0.062,0,0,0,236598734,264490690.285714,67.13
2020-03-21,5995,2544,6367,103,46,106,75688,40483,76591,0.066,0,0,0,226362917,262796478.285714,72.69
2020-03-22,8873,3292,5995,121,60,103,74068,49437,75688,0.076,0,0,0,227815906,260388249.285714,72.69
2020-03-23,11238,4527,8873,192,75,121,79728,57948,74068,0.089,0,0,0,238044915,258503283.285714,72.69
2020-03-24,10619,5922,11238,243,99,192,104657,65407,79728,0.093,0,0,0,236067978,255256961.857143,72.69
2020-03-25,12082,7178,10619,333,128,243,114614,74651,104657,0.1,0,0,0,235465302,251000242.714286,72.69
2020-03-26,17856,8524,12082,419,167,333,129216,83804,114614,0.109,0,0,0,235687119,246811093.857143,72.69
2020-03-27,18690,10433,17856,522,217,419,135914,93509,129216,0.12,0,0,0,236356690,242498320.857143,72.69
